2019 08 08 21 00 00,Diabolo Battle,Gala Tent,,53.0999,-0.7721
2019 08 08 21 00 00,Glow Open Stage,Fire Space,,53.0963,-0.7723
2019 08 09 00 00 00,Definitely NO PLaY Renegade,Play Tent,,53.0975,-0.7721
2019 08 09 13 00 00,David Cain History Show,Marybelle Tent,http://historicaljugglingprops.com/juggling-history-show/,53.0967,-0.7733
2019 08 09 14 00 00,Les Vegas and Dan Francisco,Outside Stage,,53.0976,-0.7729
2019 08 09 15 00 00,Cafe Cabaret Open Show,Cafe Cabaret,,53.0976,-0.7729
2019 08 09 17 00 00,EJC Future Circus Take Over Show,Magpie Tent,,53.0972,-0.7716
2019 08 09 19 00 00,Open Stage,Marybelle Tent,,53.0967,-0.7733
2019 08 09 21 00 00,Fight Night,Gala Tent,http://fightnightcombat.com/,53.0999,-0.7721
2019 08 09 21 00 00,Jim Bazely,Juggler Bar,,53.0970,-0.7736 
2019 08 09 22 00 00,Gabriella Eva,Juggler Bar,https://www.facebook.com/GABRIELAEVASOUNDS/,53.0970,-0.7736 
2019 08 10 00 00 00,Renegade,,
2019 08 10 13 00 00,Afternoon Gala Show,Gala Tent,,53.0999,-0.7721
2019 08 10 15 00 00,Juggling Games,Main Ring,,53.0984,-0.7681
2019 08 10 19 00 00,Open Stage,Marybelle Tent,,53.0967,-0.7733
2019 08 10 20 00 00,Evening Gala Show,Gala Tent,,53.0999,-0.7721
2019 08 10 21 00 00,PLaY Party,Juggler Bar,,53.0970,-0.7736 
2019 08 11 00 00 00,Renegade,,
2019 08 11 24 00 00,Lost In Translation - Baron in the Trees,Marybelle Tent,http://lostintranslationcircus.com/christmas-show/,53.0967,-0.7733
